NHBF,物化生,EWONMRXCF,11,98,130,84,10,86,93,0,0,0,501
YTHX,物化生,OTAVWUXVY,11,50,135,83,93,54,71,0,0,0,486
QMXO,物化生,QITDXZCCR,11,142,84,47,75,85,50,0,0,0,483
JXXZ,物化生,STXPSWZSD,11,48,131,86,51,76,87,0,0,0,479
JFAD,物化生,JAFDFTTZX,11,130,137,31,43,71,52,0,0,0,464
QQNQ,物化生,AADPHNLRA,11,129,132,14,87,86,10,0,0,0,458
IGLS,物化生,CWWITIYRB,11,94,109,4,65,92,90,0,0,0,454
RHLE,物化生,GETYVDJSH,11,108,63,65,71,76,38,0,0,0,421
YZBC,物化生,QNVIIAPLU,11,124,29,68,45,90,58,0,0,0,414
ZEUH,物化生,RCNQRSDRT,11,115,83,6,62,71,61,0,0,0,398
BVQG,物化生,PZUKUPCVP,11,3,111,127,16,31,90,0,0,0,378
OPQZ,物化生,HKGJDPMHK,11,24,35,134,44,67,70,0,0,0,374
最显眼的人,物化生,114514,11,66,40,19,82,64,82,0,0,0,353
SJUG,物化生,NLRVFSHRQ,11,135,90,5,42,7,73,0,0,0,352
JEYA,物化生,MWAIXAJNT,11,128,29,23,39,46,76,0,0,0,341
ZFNU,物化生,OKOAPPZJL,11,61,49,38,65,26,96,0,0,0,335
PIQF,物化生,JNMKKOROT,11,41,60,37,86,36,71,0,0,0,331
WPSU,物化生,DJFPOWJLM,11,8,48,47,94,68,29,0,0,0,294
ECOT,物化生,QWWLRVPWG,11,97,68,26,5,7,85,0,0,0,288
SION,物化生,DSUNLNNGJ,11,82,45,13,13,89,28,0,0,0,270
WAYY,物化生,AKRMORSUV,11,31,61,81,53,20,24,0,0,0,270
JXOT,物化生,UAIMXQBRT,11,111,54,40,7,14,22,0,0,0,248
GKMQ,物化生,JOIMJMERL,11,1,145,30,42,9,10,0,0,0,237
UNFE,物化生,ANNUCHAYD,11,25,47,17,3,3,60,0,0,0,155
