R,物化生,TPGYQXSUZ,8,138,117,123,92,61,74,0,0,0,605
R,物化生,LVLSXAMMZ,6,103,91,104,69,71,95,0,0,0,533
K,物化生,AWNJJLAYO,10,128,107,139,80,75,61,0,0,0,590
O,物化生,WJBCRBTGO,12,97,127,148,60,93,70,0,0,0,595
Y,物化生,HRPTJWJRU,1,142,145,116,60,75,93,0,0,0,631
Y,物化生,LLKVVKXMK,20,150,121,109,78,79,67,0,0,0,604
G,物化生,HIURHTTAL,13,144,148,139,96,92,63,0,0,0,682
A,物化生,KHKXZERJT,15,138,124,137,69,63,60,0,0,0,591
W,物化生,UBXLDXVFW,10,146,94,107,100,85,71,0,0,0,603
Y,物化生,YGDPKOIXA,3,102,133,136,80,79,96,0,0,0,626
C,物化生,UZMVDYHOR,14,128,127,107,85,78,85,0,0,0,610
E,物化生,WIVGJVSHB,7,102,114,114,72,62,85,0,0,0,549
R,物化生,VCFUDJZBG,14,131,133,126,67,99,62,0,0,0,618
G,物化生,COUHEGEKH,2,101,96,118,62,97,65,0,0,0,539
D,物化生,CPVEIIBRZ,20,112,131,91,96,64,95,0,0,0,589
I,物化生,FXAFKNUOO,20,131,98,123,63,61,92,0,0,0,568
K,物化生,FLCPRODSK,1,125,104,109,81,83,83,0,0,0,585
V,物化生,GNPIBQBCL,6,107,91,140,75,82,98,0,0,0,593
N,物化生,YQJHSDWUJ,18,123,117,98,60,64,71,0,0,0,533
Y,物化生,GUWSNUAZP,20,107,150,125,97,79,86,0,0,0,644
N,物化生,ZIPGIQUJV,5,125,107,128,95,96,78,0,0,0,629
N,物化生,KVPFZGMPG,7,114,144,108,75,83,70,0,0,0,594
H,物化生,PEEPZLEDF,3,117,126,128,90,87,97,0,0,0,645
Z,物化生,OQZYIDPFS,8,123,128,109,67,75,61,0,0,0,563
E,物化生,INOXQEZEE,10,124,137,130,94,96,62,0,0,0,643
X,物化生,YEZLVLIBG,8,135,132,125,96,94,67,0,0,0,649
V,物化生,PXCPSNKXW,5,143,143,98,79,88,100,0,0,0,651
C,物化生,WMWTBCKIG,6,101,104,111,89,78,76,0,0,0,559
Z,物化生,XJBVNLCAW,17,146,145,90,80,96,89,0,0,0,646
Q,物化生,JMUNLNSHC,6,112,143,120,80,68,90,0,0,0,613
K,物化生,NSBLLOUFH,18,150,114,115,75,84,92,0,0,0,630
P,物化生,GIOTSYUWT,17,98,119,92,68,96,71,0,0,0,544
S,物化生,MCVXDXKKZ,1,112,141,125,63,95,90,0,0,0,626
V,物化生,MCHXJYGPK,14,132,137,150,60,71,75,0,0,0,625
H,物化生,WRWZDEJHO,2,98,116,145,93,63,78,0,0,0,593
V,物化生,JLSNSBQLV,6,104,96,150,79,64,76,0,0,0,569
F,物化生,XYFIJZVFS,5,109,125,94,99,71,75,0,0,0,573
V,物化生,XMVNBZALB,2,90,137,108,73,61,86,0,0,0,555
M,物化生,AKWESPMNK,12,107,145,95,88,62,73,0,0,0,570
D,物化生,RGVIDQRXH,7,119,120,125,83,86,73,0,0,0,606
V,物化生,PCWVOHFZW,12,127,134,150,89,93,77,0,0,0,670
C,物化生,QOHWAKEYQ,20,133,107,124,78,75,97,0,0,0,614
U,物化生,PDMDIKEGP,9,103,129,134,94,86,65,0,0,0,611
X,物化生,GDHMYCSYU,18,142,112,96,97,63,63,0,0,0,573
E,物化生,BKOWUNHIJ,6,98,105,140,75,100,90,0,0,0,608
R,物化生,DOWIQBOXO,14,105,95,127,82,82,97,0,0,0,588
K,物化生,ZPPJSGCVK,1,121,145,110,79,87,72,0,0,0,614
Z,物化生,CSCMBMFIT,6,118,108,126,85,82,72,0,0,0,591
T,物化生,HFNBHVJVS,16,145,126,105,80,91,94,0,0,0,641
O,物化生,GIOMMNJJY,9,146,138,149,78,60,61,0,0,0,632
C,物化生,OCNTNMMBZ,16,150,149,99,90,77,80,0,0,0,645
J,物化生,QXGQDAUBH,12,127,137,105,71,91,93,0,0,0,624
I,物化生,COONJJMNT,4,135,109,147,71,68,65,0,0,0,595
Z,物化生,EEFEKRENF,19,119,113,137,94,62,88,0,0,0,613
I,物化生,QRCEMZENU,14,132,140,143,88,97,96,0,0,0,696
U,物化生,FMDHRLOHK,15,145,125,136,85,84,86,0,0,0,661
T,物化生,ZNFEUWIHJ,6,115,130,103,81,72,87,0,0,0,588
W,物化生,HENCBYEXL,20,125,133,137,67,89,76,0,0,0,627
J,物化生,KVIEXYFPK,14,141,138,108,82,85,88,0,0,0,642
I,物化生,SJKVLMBLX,17,144,118,119,98,93,98,0,0,0,670
I,物化生,NOFQTOOBC,19,99,147,100,92,83,62,0,0,0,583
V,物化生,ZZPVSESBV,19,97,133,129,86,80,72,0,0,0,597
K,物化生,EEYJAEABZ,11,148,110,94,62,81,65,0,0,0,560
